season,team,games,wins,losses,win_pct,pts_for,pts_against,pt_diff,td_allowed,xpa_allowed,xpm_allowed,fga_allowed,fgm_allowed,safeties_allowed,td_allowed_pg,pts_allowed_pg
2012,Idaho,12,1,11,0.083,190.0,509.0,-319.0,69.0,67.0,66.0,14.0,9.0,0.0,5.75,42.42
2012,Louisiana Tech,12,9,3,0.75,618.0,462.0,156.0,61.0,59.0,56.0,15.0,12.0,0.0,5.08,38.5
2012,Marshall,12,5,7,0.417,491.0,517.0,-26.0,69.0,66.0,62.0,15.0,13.0,0.0,5.75,43.08
2012,Miami (OH),12,4,8,0.333,280.0,419.0,-139.0,55.0,53.0,52.0,18.0,11.0,1.0,4.58,34.92
2012,Nevada,13,7,6,0.538,492.0,439.0,53.0,57.0,51.0,49.0,15.0,14.0,0.0,4.38,33.77
2012,New Mexico State,12,1,11,0.083,224.0,473.0,-249.0,61.0,61.0,56.0,26.0,17.0,0.0,5.08,39.42
2012,Southern Mississippi,12,0,12,0.0,236.0,454.0,-218.0,60.0,59.0,55.0,19.0,13.0,0.0,5.0,37.83
2012,Tulane,12,2,10,0.167,257.0,461.0,-204.0,59.0,57.0,56.0,23.0,17.0,0.0,4.92,38.42
2012,UAB,12,3,9,0.25,339.0,450.0,-111.0,57.0,55.0,53.0,20.0,15.0,2.0,4.75,37.5
2012,West Virginia,13,7,6,0.538,513.0,495.0,18.0,64.0,61.0,61.0,22.0,14.0,3.0,4.92,38.08
2013,New Mexico State,12,2,10,0.167,251.0,535.0,-284.0,69.0,68.0,64.0,1.0,13.0,0.0,5.75,44.58
2014,Old Dominion,12,6,6,0.5,392.0,456.0,-64.0,61.0,59.0,59.0,0.0,9.0,0.0,5.08,38.0
2022,Arizona,12,5,7,0.417,370.0,438.0,-68.0,60.0,60.0,57.0,12.0,7.0,0.0,5.0,36.5
2022,Bowling Green,13,6,7,0.462,305.0,423.0,-118.0,54.0,50.0,50.0,17.0,13.0,0.0,4.15,32.54
2022,Charlotte,12,3,9,0.25,293.0,473.0,-180.0,62.0,55.0,53.0,18.0,14.0,0.0,5.17,39.42
2022,Colorado,12,1,11,0.083,185.0,534.0,-349.0,72.0,69.0,69.0,13.0,9.0,2.0,6.0,44.5
2022,Florida International,12,4,8,0.333,224.0,447.0,-223.0,58.0,54.0,53.0,18.0,14.0,1.0,4.83,37.25
2022,Hawaii,13,3,10,0.231,257.0,451.0,-194.0,55.0,53.0,53.0,28.0,22.0,0.0,4.23,34.69
2022,Kansas,13,6,7,0.462,463.0,461.0,2.0,58.0,53.0,52.0,22.0,17.0,1.0,4.46,35.46
2022,Louisiana Tech,12,3,9,0.25,348.0,455.0,-107.0,58.0,55.0,54.0,17.0,17.0,0.0,4.83,37.92
2022,North Carolina,14,9,5,0.643,482.0,431.0,51.0,57.0,52.0,52.0,19.0,11.0,0.0,4.07,30.79
2022,North Texas,14,7,7,0.5,473.0,444.0,29.0,55.0,54.0,53.0,25.0,19.0,1.0,3.93,31.71
2022,Rice,13,5,8,0.385,328.0,444.0,-116.0,57.0,55.0,55.0,19.0,15.0,0.0,4.38,34.15
2022,SMU,13,7,6,0.538,484.0,440.0,44.0,56.0,52.0,50.0,22.0,16.0,1.0,4.31,33.85
2022,South Florida,12,1,11,0.083,336.0,494.0,-158.0,64.0,62.0,61.0,18.0,15.0,1.0,5.33,41.17
2022,Texas Christian,15,13,2,0.867,582.0,435.0,147.0,55.0,51.0,50.0,23.0,17.0,0.0,3.67,29.0
2022,USC,14,11,3,0.786,579.0,409.0,170.0,54.0,47.0,45.0,13.0,10.0,1.0,3.86,29.21
2022,Vanderbilt,12,5,7,0.417,295.0,432.0,-137.0,56.0,52.0,51.0,17.0,15.0,0.0,4.67,36.0
2023,California,13,6,7,0.462,393.0,426.0,-33.0,55.0,51.0,50.0,21.0,14.0,0.0,4.23,32.77
2023,Colorado,12,4,8,0.333,338.0,418.0,-80.0,56.0,51.0,50.0,17.0,10.0,0.0,4.67,34.83
2023,Kent State,12,1,11,0.083,176.0,415.0,-239.0,55.0,53.0,53.0,12.0,10.0,0.0,4.58,34.58
2023,Massachusetts,12,3,9,0.25,278.0,454.0,-176.0,61.0,57.0,55.0,17.0,11.0,0.0,5.08,37.83
2023,North Texas,12,5,7,0.417,414.0,445.0,-31.0,60.0,55.0,52.0,13.0,9.0,0.0,5.0,37.08
2023,South Florida,13,7,6,0.538,415.0,419.0,-4.0,57.0,55.0,54.0,14.0,7.0,0.0,4.38,32.23
2023,Southern Mississippi,12,3,9,0.25,278.0,429.0,-151.0,56.0,53.0,53.0,15.0,12.0,0.0,4.67,35.75
2023,Stanford,12,3,9,0.25,247.0,452.0,-205.0,62.0,59.0,58.0,9.0,4.0,0.0,5.17,37.67
2023,Temple,12,3,9,0.25,253.0,428.0,-175.0,54.0,52.0,52.0,20.0,16.0,1.0,4.5,35.67
2023,Texas State,13,8,5,0.615,477.0,427.0,50.0,56.0,48.0,46.0,16.0,13.0,0.0,4.31,32.85
2023,UAB,12,4,8,0.333,359.0,443.0,-84.0,57.0,55.0,55.0,17.0,14.0,0.0,4.75,36.92
2023,USC,13,8,5,0.615,544.0,447.0,97.0,59.0,51.0,51.0,18.0,12.0,0.0,4.54,34.38
2023,Utah State,13,6,7,0.462,431.0,451.0,-20.0,59.0,55.0,54.0,17.0,13.0,0.0,4.54,34.69
2023,Vanderbilt,12,2,10,0.167,274.0,434.0,-160.0,54.0,51.0,50.0,23.0,20.0,0.0,4.5,36.17
2024,Arkansas State,13,8,5,0.615,336.0,418.0,-82.0,55.0,54.0,52.0,15.0,12.0,0.0,4.23,32.15
2024,Ball State,12,3,9,0.25,304.0,481.0,-177.0,63.0,56.0,53.0,15.0,14.0,0.0,5.25,40.08
2024,Charlotte,12,5,7,0.417,284.0,421.0,-137.0,54.0,52.0,50.0,23.0,15.0,1.0,4.5,35.08
2024,Kent State,12,0,12,0.0,167.0,529.0,-362.0,66.0,63.0,63.0,26.0,22.0,1.0,5.5,44.08
2024,Massachusetts,12,2,10,0.167,270.0,426.0,-156.0,55.0,53.0,52.0,14.0,14.0,0.0,4.58,35.5
2024,Middle Tennessee State,12,3,9,0.25,217.0,411.0,-194.0,54.0,52.0,50.0,15.0,11.0,2.0,4.5,34.25
2024,New Mexico,12,5,7,0.417,402.0,456.0,-54.0,59.0,55.0,55.0,20.0,15.0,0.0,4.92,38.0
2024,New Mexico State,12,3,9,0.25,259.0,435.0,-176.0,54.0,51.0,50.0,23.0,19.0,1.0,4.5,36.25
2024,North Texas,13,6,7,0.462,436.0,444.0,-8.0,54.0,48.0,47.0,26.0,23.0,0.0,4.15,34.15
2024,Oklahoma State,12,3,9,0.25,326.0,427.0,-101.0,56.0,55.0,55.0,18.0,12.0,0.0,4.67,35.58
2024,Purdue,12,1,11,0.083,189.0,479.0,-290.0,64.0,62.0,62.0,18.0,11.0,0.0,5.33,39.92
2024,Southern Mississippi,12,1,11,0.083,183.0,453.0,-270.0,58.0,58.0,55.0,20.0,16.0,0.0,4.83,37.75
2024,Temple,12,3,9,0.25,235.0,425.0,-190.0,55.0,50.0,49.0,16.0,12.0,1.0,4.58,35.42
2024,Texas Tech,13,8,5,0.615,489.0,453.0,36.0,57.0,52.0,49.0,27.0,20.0,1.0,4.38,34.85
2024,Tulsa,12,3,9,0.25,300.0,510.0,-210.0,69.0,67.0,65.0,13.0,7.0,0.0,5.75,42.5
2024,Utah State,12,4,8,0.333,383.0,453.0,-70.0,56.0,50.0,49.0,22.0,20.0,0.0,4.67,37.75
2024,West Virginia,13,6,7,0.462,379.0,415.0,-36.0,56.0,52.0,51.0,12.0,8.0,0.0,4.31,31.92
2025,Charlotte,12,1,11,0.083,172.0,436.0,-264.0,57.0,56.0,56.0,18.0,12.0,1.0,4.75,36.33
2025,Florida Atlantic,12,4,8,0.333,354.0,436.0,-82.0,56.0,50.0,50.0,17.0,14.0,1.0,4.67,36.33
2025,Georgia State,12,1,11,0.083,237.0,454.0,-217.0,58.0,54.0,54.0,21.0,16.0,0.0,4.83,37.83
2025,Massachusetts,12,0,12,0.0,133.0,463.0,-330.0,62.0,61.0,59.0,13.0,10.0,0.0,5.17,38.58
2025,Rice,13,5,8,0.385,248.0,428.0,-180.0,54.0,52.0,52.0,20.0,16.0,1.0,4.15,32.92
2025,Sam Houston,12,2,10,0.167,213.0,454.0,-241.0,57.0,54.0,53.0,26.0,19.0,0.0,4.75,37.83
2025,UAB,12,4,8,0.333,317.0,459.0,-142.0,60.0,57.0,57.0,13.0,12.0,0.0,5.0,38.25
2025,UCLA,12,3,9,0.25,218.0,401.0,-183.0,54.0,51.0,49.0,11.0,8.0,1.0,4.5,33.42
