retro_id,mlbam_id,bbref_id,name_first,name_last
arenn001,571448,arenano01,Nolan,Arenado
arfth101,110311,arftha01,Hank,Arft
ariaa001,110312,ariasal01,Alex,Arias
ariaa002,464244,ariasal02,Alberto,Árias
ariag001,110313,ariasge01,George,Arias
ariag002,672356,ariasga01,Gabriel,Arias
ariaj001,435078,ariasjo01,Joaquín,Arias
arial001,678215,ariaslu01,Luarbert,Arias
ariar101,110314,ariasru01,Rudy,Árias
arihk001,685503,arihako01,Kohei,Arihara
ariom101,820683,ariosma01,Mario,Ariosa
arleb101,110315,arletbu01,Buzz,Arlett
arlid101,110316,arlicdo01,Don,Arlich
arlis101,110317,arlinst01,Steve,Arlin
armaf101,820676,armasfe01,Felipe,Armas
armaj101,,,Juan,Armenteros
armam001,110319,armasma01,Marcos,Armas
armat001,110318,armasto01,Tony,Armas
armat002,150393,armasto02,Tony,Armas
armbc101,110322,armbrch01,Charlie,Armbruster
armbe101,110320,armbred01,Ed,Armbrister
armbh101,110323,armbrha01,Harry,Armbruster
armbo101,110321,armbror01,Orville,Armbrust
armep101,820678,,Pablo,Armenteros
